STAID,LAT,LON,geometry
1,56.86666666666667,14.8,POINT (14.8 56.86666666666667)
2,60.61666666666667,15.616666666666667,POINT (15.616666666666667 60.61666666666667)
3,65.06666666666666,17.16638888888889,POINT (17.16638888888889 65.06666666666666)
4,58.4,15.533055555555556,POINT (15.533055555555556 58.4)
5,58.4,15.533055555555556,POINT (15.533055555555556 58.4)
6,59.35,13.466666666666669,POINT (13.466666666666669 59.35)
7,59.44444444444444,13.3375,POINT (13.3375 59.44444444444444)
8,63.18305555555556,14.483055555555556,POINT (14.483055555555556 63.18305555555556)
9,63.18305555555556,14.483055555555556,POINT (14.483055555555556 63.18305555555556)
10,59.35,18.05,POINT (18.05 59.35)
11,48.055,14.130833333333332,POINT (14.130833333333332 48.055)
12,47.07777777777778,15.44888888888889,POINT (15.44888888888889 47.07777777777778)
13,47.26,11.384166666666664,POINT (11.384166666666664 47.26)
14,47.78916666666667,13.008055555555556,POINT (13.008055555555556 47.78916666666667)
15,47.05416666666667,12.9575,POINT (12.9575 47.05416666666667)
16,48.248333333333335,16.35638888888889,POINT (16.35638888888889 48.248333333333335)
21,45.81666666666667,15.978055555555557,POINT (15.978055555555557 45.81666666666667)
22,34.933055555555555,32.916666666666664,POINT (32.916666666666664 34.933055555555555)
23,34.88305555555556,33.63305555555556,POINT (33.63305555555556 34.88305555555556)
24,34.666666666666664,33.04972222222222,POINT (33.04972222222222 34.666666666666664)
25,35.166666666666664,33.35,POINT (33.35 35.166666666666664)
26,35.03305555555556,32.433055555555555,POINT (32.433055555555555 35.03305555555556)
27,50.08638888888889,14.41638888888889,POINT (14.41638888888889 50.08638888888889)
28,60.175,24.947777777777777,POINT (24.947777777777777 60.175)
29,62.401944444444446,25.67833333333333,POINT (25.67833333333333 62.401944444444446)
30,67.36583333333333,26.63305555555556,POINT (26.63305555555556 67.36583333333333)
31,43.305,5.396666666666667,POINT (5.396666666666667 43.305)
32,47.05916666666666,2.3594444444444447,POINT (2.3594444444444447 47.05916666666666)
33,43.62083333333334,1.3788888888888888,POINT (1.3788888888888888 43.62083333333334)
34,44.83055555555556,-0.6913888888888889,POINT (-0.6913888888888889 44.83055555555556)
36,42.73694444444445,2.872777777777778,POINT (2.872777777777778 42.73694444444445)
37,45.72638888888889,5.0777777777777775,POINT (5.0777777777777775 45.72638888888889)
39,43.437777777777775,5.215833333333333,POINT (5.215833333333333 43.437777777777775)
40,49.875277777777775,10.921666666666669,POINT (10.921666666666669 49.875277777777775)
41,52.46388888888889,13.301666666666668,POINT (13.301666666666668 52.46388888888889)
42,53.046388888888885,8.799166666666666,POINT (8.799166666666666 53.046388888888885)
43,51.11666666666667,13.683055555555557,POINT (13.683055555555557 51.11666666666667)
